timestamp,location_reported,raw_message,category_label,severity_score
2025-10-01 21:29:00,Sirhind Mandi,zero visibility near sirhind mandi. fog is dead. driving slow.,smog_fog,9
2025-10-01 23:48:00,Sirhind Mandi,zero visibility near sirhind mandi. smog is pura. driving slow.,smog_fog,8
2025-10-02 01:15:00,Doraha,zero visibility near doraha. slippery rd is dead. driving slow.,smog_fog,9
2025-10-02 01:26:00,Samrala,crossed samrala. road clear. reaching on time.,clear,0
2025-10-02 01:34:00,NH-44,pothole on road near nh-44. risk of accident. khada hai.,rural_hazard,4
2025-10-02 02:17:00,Jalandhar Bypass,zero visibility pass jalandhar bypass. waterlogging is boht heavy. driving slow.,smog_fog,7
2025-10-02 03:15:00,GT Road,zero visibility pass gt road. dhund is slow. driving slow.,smog_fog,8
2025-10-02 03:40:00,Rajpura Toll,zero visibility near rajpura toll. waterlogging is slow. driving slow.,smog_fog,9
2025-10-02 04:40:00,Link Road #5,crossed link road #5. road clear. reaching on time.,clear,0
2025-10-02 05:10:00,Nakodar,cattle on road near nakodar. risk of accident. phas gya.,rural_hazard,4
2025-10-02 06:18:00,Malerkotla,crossed malerkotla. rasta clear. reaching on time.,clear,0
2025-10-02 06:31:00,Canal Road,zero visibility near canal road. heavy rain is dead. driving slow.,smog_fog,7
2025-10-02 07:36:00,Amritsar Gate,my truck stopped at amritsar gate. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-02 08:16:00,Canal Road,dead traffic. trolley khada hai near canal rasta due to slow gate entry.,harvest_traffic,5
2025-10-02 08:19:00,Ludhiana Transport Nagar,crossed ludhiana transport nagar. rod clear. reaching on time.,clear,0
2025-10-02 10:55:00,Canal Road,my tanker stopped at canal road. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-02 11:13:00,Sahnewal Mandi,sahnewal mandi phas gya by strike. total jam. avoid this route.,protest_dharna,10
2025-10-02 11:17:00,Link Road #5,my gaadi stopped at link road #5. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-02 11:31:00,Moga Grain Market,boht heavy traffic. tanker jammed near moga grain market due to paddy bags.,harvest_traffic,6
2025-10-02 12:25:00,Link Road #5,crssd lnk rd #5. rd clr. rchng n tm.,clear,0
2025-10-02 12:34:00,Ludhiana Transport Nagar,crossed ludhiana transport nagar. road clear. reaching on time.,clear,0
2025-10-02 12:48:00,NH-44,my canter stopped at nh-44. diesel over. need mechanic.,vehicle_breakdown,2
2025-10-02 12:54:00,Bathinda Refinery,crossed bathinda refinery. road clear. reaching on time.,clear,0
2025-10-02 13:04:00,Link Road #5,slow traffic. tractor khada hai nr link rd #5 due to unloading.,harvest_traffic,5
2025-10-02 13:04:00,Phillaur,total traffic. tractor stuck pass phillaur due to overloading check.,harvest_traffic,4
2025-10-02 13:13:00,Ferozepur Road,slow traffic. gaadi blokd near ferozepur rasta due to paddy bags.,harvest_traffic,6
2025-10-02 14:19:00,Moga Grain Market,moga grain market khada hai by police barricade. total jam. avoid this route.,protest_dharna,10
2025-10-02 14:27:00,Canal Road,crossed canal road. road clear. reaching on time.,clear,0
2025-10-02 14:46:00,Nakodar,my gaadi stopped at nakodar. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-02 15:17:00,GT Road,gt road stopped by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-02 15:26:00,Moga Grain Market,boht heavy traffic. canter khada hai pass moga grain market due to paddy bags.,harvest_traffic,5
2025-10-02 16:00:00,Ferozepur Road,my canter stopped at ferozepur road. diesel over. need mechanic.,vehicle_breakdown,2
2025-10-02 17:43:00,Sirhind Mandi,boht heavy traffic. tractor phas gya near sirhind mandi due to labor shortage.,harvest_traffic,7
2025-10-02 17:58:00,Ferozepur Road,my tanker stopped at ferozepur road. diesel over. need mechanic.,vehicle_breakdown,2
2025-10-02 18:12:00,Phillaur,very bad traffic. truck stopped near phillaur due to paddy bags.,harvest_traffic,6
2025-10-02 18:26:00,Doraha,very bad traffic. trolley stuck near doraha due to slow gate entry.,harvest_traffic,5
2025-10-02 19:44:00,Malerkotla,malerkotla stopped by strike. total jam. avoid this route.,protest_dharna,10
2025-10-02 20:02:00,Jalandhar Bypass,cattle on road near jalandhar bypass. risk of accident. stuck.,rural_hazard,6
2025-10-02 20:05:00,Nakodar,zero visibility near nakodar. dhund is boht heavy. driving slow.,smog_fog,7
2025-10-02 20:12:00,Moga Grain Market,zero visibility near moga grain market. smog is very bad. driving slow.,smog_fog,7
2025-10-02 20:24:00,Jagraon Mandi,crossed jagraon mandi. rod clear. reaching on time.,clear,0
2025-10-02 21:25:00,Ludhiana Transport Nagar,crossed ludhiana transport nagar. rod clear. reaching on time.,clear,0
2025-10-03 01:31:00,Doraha,zero visibility near doraha. dhund is dead. driving slow.,smog_fog,9
2025-10-03 04:50:00,Jagraon Mandi,crossed jagraon mandi. road clear. reaching on time.,clear,0
2025-10-03 05:04:00,Khanna Mandi,crossed khanna mandi. road clear. reaching on time.,clear,0
2025-10-03 06:30:00,NH-44,zero visibility near nh-44. slippery road is boht heavy. driving slow.,smog_fog,8
2025-10-03 06:31:00,Amritsar Gate,zero visibility near amritsar gate. heavy rain is slow. driving slow.,smog_fog,8
2025-10-03 06:50:00,NH-44,crossed nh-44. road clear. reaching on time.,clear,0
2025-10-03 06:53:00,Raikot,zero visibility near raikot. fog is boht heavy. driving slow.,smog_fog,9
2025-10-03 07:57:00,GT Road,slow traffic. gaadi jammed near gt rasta due to unloading.,harvest_traffic,6
2025-10-03 07:57:00,Canal Road,crossed canal road. road clear. reaching on time.,clear,0
2025-10-03 09:02:00,Phillaur,phillaur khada hai by union block. total jam. avoid this route.,protest_dharna,10
2025-10-03 09:49:00,Rajpura Toll,dead traffic. truck blokd nr rajpura toll due to overloading check.,harvest_traffic,5
2025-10-03 09:56:00,Ferozepur Road,dead traffic. trolley jammed pass ferozepur road due to unloading.,harvest_traffic,4
2025-10-03 10:37:00,Samrala,crossed samrala. road clear. reaching on time.,clear,0
2025-10-03 11:00:00,Phillaur,phllr jmmd by strk. ttl jm. avd ths rt.,protest_dharna,10
2025-10-03 11:27:00,Rajpura Toll,bht hvy trffc. gd stck nr rjpr tll d t vrldng chck.,harvest_traffic,7
2025-10-03 12:29:00,Malerkotla,malerkotla phas gya by union block. total jam. avoid this route.,protest_dharna,10
2025-10-03 12:34:00,Doraha,doraha stuck by road roko. total jam. avoid this route.,protest_dharna,10
2025-10-03 13:59:00,Moga Grain Market,dead traffic. tractor jammed nr moga grain market due to unloading.,harvest_traffic,6
2025-10-03 15:26:00,Canal Road,pura traffic. gaadi blocked near canal road due to paddy bags.,harvest_traffic,6
2025-10-03 15:36:00,Ferozepur Road,slow traffic. truck stopped near ferozepur road due to labor shortage.,harvest_traffic,6
2025-10-03 15:45:00,Samrala,my trlly stppd t smrl. cltch plt gy. nd mchnc.,vehicle_breakdown,2
2025-10-03 15:57:00,Doraha,slow traffic. gaadi jammed nr doraha due to unloading.,harvest_traffic,4
2025-10-03 16:25:00,Khanna Mandi,my truck stopped at khanna mandi. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-03 16:41:00,Bathinda Refinery,boht heavy traffic. canter jammed near bathinda refinery due to labor shortage.,harvest_traffic,7
2025-10-03 19:08:00,Link Road #5,crossed link rasta #5. road clear. reaching on time.,clear,0
2025-10-03 19:16:00,Khanna Mandi,total traffic. tractor blocked near khanna mandi due to overloading check.,harvest_traffic,5
2025-10-03 20:51:00,Malerkotla,stray cows on rod near malerkotla. risk of accident. phas gya.,rural_hazard,4
2025-10-03 21:16:00,Jalandhar Bypass,zero visibility near jalandhar bypass. heavy rain is boht heavy. driving slow.,smog_fog,7
2025-10-03 21:16:00,NH-44,cattle on road near nh-44. risk of accident. jammed.,rural_hazard,6
2025-10-03 23:37:00,Raikot,electric wire on road near raikot. risk of accident. blocked.,rural_hazard,4
2025-10-04 03:30:00,Jalandhar Bypass,crossed jalandhar bypass. rod clear. reaching on time.,clear,0
2025-10-04 03:36:00,Amritsar Gate,electric wire on rasta near amritsar gate. risk of accident. stopped.,rural_hazard,6
2025-10-04 03:48:00,Khanna Mandi,pothole on road near khanna mandi. risk of accident. stuck.,rural_hazard,3
2025-10-04 04:43:00,Jagraon Mandi,zero visibility near jagraon mandi. smog is slow. driving slow.,smog_fog,9
2025-10-04 05:37:00,Jalandhar Bypass,zr vsblty nr jlndhr bypss. slppry rd s dd. drvng slw.,smog_fog,9
2025-10-04 07:00:00,Ludhiana Transport Nagar,my trctr stppd t ldhn trnsprt ngr. cltch plt gy. nd mchnc.,vehicle_breakdown,2
2025-10-04 07:09:00,Raikot,boht heavy traffic. gaadi stuck near raikot due to labor shortage.,harvest_traffic,4
2025-10-04 07:38:00,NH-44,slow traffic. truck khada hai near nh-44 due to slow gate entry.,harvest_traffic,4
2025-10-04 09:12:00,Link Road #5,pura traffic. trolley stopped pass link road #5 due to paddy bags.,harvest_traffic,7
2025-10-04 09:20:00,Link Road #5,dead traffic. tractor stuck nr link road #5 due to labor shortage.,harvest_traffic,7
2025-10-04 09:40:00,NH-44,slow traffic. tanker blocked near nh-44 due to overloading check.,harvest_traffic,7
2025-10-04 09:41:00,Phillaur,phillaur khada hai by union block. total jam. avoid this route.,protest_dharna,10
2025-10-04 09:45:00,Canal Road,crossed canal road. road clear. reaching on time.,clear,0
2025-10-04 10:08:00,Jalandhar Bypass,jalandhar bypass jammed by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-04 11:22:00,NH-44,very bad traffic. truck stopped near nh-44 due to unloading.,harvest_traffic,4
2025-10-04 11:40:00,Rajpura Toll,dead traffic. trolley blocked nr rajpura toll due to paddy bags.,harvest_traffic,5
2025-10-04 12:50:00,Amritsar Gate,amrtsr gt stppd by rd rk. ttl jm. avd ths rt.,protest_dharna,10
2025-10-04 13:03:00,Sirhind Mandi,sirhind mandi phas gya by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-04 13:09:00,Canal Road,boht heavy traffic. gaadi khada hai pass canal road due to slow gate entry.,harvest_traffic,6
2025-10-04 13:36:00,Samrala,dead traffic. gaadi stuck near samrala due to slow gate entry.,harvest_traffic,6
2025-10-04 13:53:00,Sirhind Mandi,my truck stopped at sirhind mandi. break fail. need mechanic.,vehicle_breakdown,2
2025-10-04 14:27:00,Sirhind Mandi,pura traffic. canter band near sirhind mandi due to labor shortage.,harvest_traffic,5
2025-10-04 14:34:00,Ludhiana Transport Nagar,total traffic. tanker blocked near ludhiana transport nagar due to labor shortage.,harvest_traffic,7
2025-10-04 14:37:00,Machhiwara,my tanker stopped at machhiwara. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-04 16:00:00,Malerkotla,total traffic. tractor phas gya near malerkotla due to unloading.,harvest_traffic,5
2025-10-04 16:32:00,Ludhiana Transport Nagar,total traffic. canter stuck near ludhiana transport nagar due to overloading check.,harvest_traffic,7
2025-10-04 18:10:00,Sahnewal Mandi,dead traffic. gaadi stopped near sahnewal mandi due to overloading check.,harvest_traffic,5
2025-10-04 18:53:00,Ferozepur Road,ferozepur road stuck by police barricade. total jam. avoid this route.,protest_dharna,10
2025-10-04 19:24:00,Sirhind Mandi,pura traffic. tractor phas gya nr sirhind mandi due to slow gate entry.,harvest_traffic,6
2025-10-04 19:35:00,Bathinda Refinery,crossed bathinda refinery. rod clear. reaching on time.,clear,0
2025-10-04 20:38:00,Sirhind Mandi,zero visibility near sirhind mandi. fog is total. driving slow.,smog_fog,9
2025-10-04 21:27:00,Bathinda Refinery,zero visibility near bathinda refinery. fog is pura. driving slow.,smog_fog,8
2025-10-04 21:31:00,Ludhiana Transport Nagar,zero visibility near ludhiana transport nagar. waterlogging is total. driving slow.,smog_fog,8
2025-10-04 21:40:00,Nakodar,crossed nakodar. road clear. reaching on time.,clear,0
2025-10-04 21:42:00,Link Road #5,zero visibility near link road #5. dhund is slow. driving slow.,smog_fog,8
2025-10-04 22:14:00,Rajpura Toll,zero visibility near rajpura toll. slippery rod is dead. driving slow.,smog_fog,9
2025-10-04 23:05:00,Jalandhar Bypass,mud on rasta near jalandhar bypass. risk of accident. stopped.,rural_hazard,6
2025-10-05 02:10:00,Sirhind Mandi,crossed sirhind mandi. road clear. reaching on time.,clear,0
2025-10-05 03:11:00,NH-44,zero visibility near nh-44. waterlogging is very bad. driving slow.,smog_fog,9
2025-10-05 03:13:00,Ludhiana Transport Nagar,cttl n rd nr ldhn trnsprt ngr. rsk f ccdnt. stck.,rural_hazard,5
2025-10-05 03:16:00,Moga Grain Market,pothole on road near moga grain market. risk of accident. blocked.,rural_hazard,4
2025-10-05 03:16:00,Rajpura Toll,pothole on rd nr rajpura toll. risk of accident. khada hai.,rural_hazard,6
2025-10-05 03:37:00,Bathinda Refinery,pothole on road near bathinda refinery. risk of accident. khada hai.,rural_hazard,6
2025-10-05 04:08:00,Samrala,zero visibility nr samrala. slippery road is total. driving slow.,smog_fog,7
2025-10-05 06:06:00,Sirhind Mandi,zero visibility near sirhind mandi. dhund is boht heavy. driving slow.,smog_fog,7
2025-10-05 07:31:00,Samrala,dead traffic. truck stuck near samrala due to labor shortage.,harvest_traffic,4
2025-10-05 07:50:00,Rajpura Toll,slow traffic. tanker stuck nr rajpura toll due to unloading.,harvest_traffic,7
2025-10-05 07:55:00,Amritsar Gate,pr trffc. trck stck nr amrtsr gt d t pddy bgs.,harvest_traffic,4
2025-10-05 08:57:00,Doraha,my canter stopped at doraha. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-05 09:11:00,Sahnewal Mandi,shnwl mnd jmmd by nn blck. ttl jm. avd ths rt.,protest_dharna,10
2025-10-05 09:37:00,NH-44,nh-44 phas gya by police barricade. total jam. avoid this route.,protest_dharna,10
2025-10-05 11:48:00,NH-44,nh-44 blocked by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-05 12:39:00,Ludhiana Transport Nagar,crossed ludhiana transport nagar. rod clear. reaching on time.,clear,0
2025-10-05 16:27:00,GT Road,dead traffic. canter khada hai near gt road due to paddy bags.,harvest_traffic,7
2025-10-05 16:57:00,Canal Road,my trlly stppd t cnl rd. cltch plt gy. nd mchnc.,vehicle_breakdown,2
2025-10-05 18:40:00,Machhiwara,total traffic. tanker stopped near machhiwara due to slow gate entry.,harvest_traffic,6
2025-10-05 18:48:00,Malerkotla,total traffic. truck khada hai pass malerkotla due to slow gate entry.,harvest_traffic,4
2025-10-05 20:27:00,Samrala,electric wire on rasta near samrala. risk of accident. stuck.,rural_hazard,4
2025-10-05 22:21:00,Link Road #5,zero visibility pass link rod #5. heavy rain is pura. driving slow.,smog_fog,9
2025-10-05 23:26:00,Moga Grain Market,crossed moga grain market. road clear. reaching on time.,clear,0
2025-10-06 01:06:00,Link Road #5,pothole on rod near link road #5. risk of accident. stopped.,rural_hazard,3
2025-10-06 01:52:00,Amritsar Gate,zero visibility near amritsar gate. fog is pura. driving slow.,smog_fog,9
2025-10-06 02:28:00,Amritsar Gate,zero visibility nr amritsar gate. fog is boht heavy. driving slow.,smog_fog,9
2025-10-06 02:29:00,Rajpura Toll,electric wire on road near rajpura toll. risk of accident. blocked.,rural_hazard,4
2025-10-06 02:50:00,Sirhind Mandi,zero visibility nr sirhind mandi. dhund is boht heavy. driving slow.,smog_fog,7
2025-10-06 05:15:00,Ferozepur Road,zero visibility pass ferozepur road. dhund is total. driving slow.,smog_fog,9
2025-10-06 06:50:00,GT Road,zero visibility near gt road. smog is dead. driving slow.,smog_fog,7
2025-10-06 07:04:00,NH-44,boht heavy traffic. canter stopped near nh-44 due to unloading.,harvest_traffic,5
2025-10-06 07:55:00,Machhiwara,pura traffic. gaadi khada hai pass machhiwara due to slow gate entry.,harvest_traffic,4
2025-10-06 08:16:00,Moga Grain Market,mg grn mrkt khd h by plc brrcd. ttl jm. avd ths rt.,protest_dharna,10
2025-10-06 08:59:00,Ludhiana Transport Nagar,ludhiana transport nagar phas gya by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-06 09:37:00,Machhiwara,my gd stppd t mchhwr. cltch plt gy. nd mchnc.,vehicle_breakdown,2
2025-10-06 09:37:00,Phillaur,my gaadi stopped at phillaur. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-06 10:04:00,Phillaur,pura traffic. tractor band near phillaur due to paddy bags.,harvest_traffic,6
2025-10-06 10:27:00,Sirhind Mandi,crossed sirhind mandi. road clear. reaching on time.,clear,0
2025-10-06 10:52:00,NH-44,total traffic. truck phas gya near nh-44 due to labor shortage.,harvest_traffic,7
2025-10-06 10:55:00,Malerkotla,total traffic. gaadi stuck near malerkotla due to paddy bags.,harvest_traffic,7
2025-10-06 10:56:00,Rajpura Toll,rajpura toll phas gya by strike. total jam. avoid this route.,protest_dharna,10
2025-10-06 14:22:00,Canal Road,canal road phas gya by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-06 15:14:00,Nakodar,boht heavy traffic. tractor stopped near nakodar due to overloading check.,harvest_traffic,5
2025-10-06 15:53:00,Ludhiana Transport Nagar,total traffic. tractor stuck nr ludhiana transport nagar due to overloading check.,harvest_traffic,6
2025-10-06 16:06:00,Ludhiana Transport Nagar,ludhiana transport nagar band by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-06 16:06:00,Sirhind Mandi,crossed sirhind mandi. road clear. reaching on time.,clear,0
2025-10-06 16:09:00,Bathinda Refinery,my truck stopped at bathinda refinery. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-06 17:20:00,Link Road #5,boht heavy traffic. canter stopped near link rod #5 due to paddy bags.,harvest_traffic,4
2025-10-06 17:32:00,Amritsar Gate,my truck stopped at amritsar gate. diesel over. need mechanic.,vehicle_breakdown,2
2025-10-06 17:32:00,Malerkotla,my truck stopped at malerkotla. break fail. need mechanic.,vehicle_breakdown,2
2025-10-06 17:53:00,Canal Road,my gaadi stopped at canal road. break fail. need mechanic.,vehicle_breakdown,2
2025-10-06 18:09:00,Canal Road,my tractor stopped at canal road. diesel over. need mechanic.,vehicle_breakdown,2
2025-10-06 19:36:00,Canal Road,my trolley stopped at canal road. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-06 20:16:00,Nakodar,cattle on rd near nakodar. risk of accident. blocked.,rural_hazard,5
2025-10-06 20:29:00,Rajpura Toll,cattle on road near rajpura toll. risk of accident. jammed.,rural_hazard,3
2025-10-06 20:32:00,Moga Grain Market,cattle on rd pass moga grain market. risk of accident. jammed.,rural_hazard,6
2025-10-06 21:52:00,Nakodar,pthl n rd nr nkdr. rsk f ccdnt. phs gy.,rural_hazard,4
2025-10-06 22:30:00,Samrala,electric wire on rd near samrala. risk of accident. blocked.,rural_hazard,6
2025-10-06 22:36:00,Malerkotla,electric wire on road near malerkotla. risk of accident. stopped.,rural_hazard,4
2025-10-06 23:49:00,Jagraon Mandi,zero visibility nr jagraon mandi. heavy rain is dead. driving slow.,smog_fog,9
2025-10-07 00:37:00,Jalandhar Bypass,zero visibility nr jalandhar bypass. slippery rd is boht heavy. driving slow.,smog_fog,7
2025-10-07 01:43:00,Ferozepur Road,pothole on road near ferozepur road. risk of accident. jammed.,rural_hazard,6
2025-10-07 02:02:00,Link Road #5,zero visibility pass link rd #5. heavy rain is dead. driving slow.,smog_fog,9
2025-10-07 02:15:00,Jagraon Mandi,zero visibility near jagraon mandi. slippery road is total. driving slow.,smog_fog,9
2025-10-07 03:09:00,Jalandhar Bypass,crossed jalandhar bypass. road clear. reaching on time.,clear,0
2025-10-07 05:01:00,Ferozepur Road,crossed ferozepur road. rod clear. reaching on time.,clear,0
2025-10-07 05:01:00,Sahnewal Mandi,crossed sahnewal mandi. rasta clear. reaching on time.,clear,0
2025-10-07 05:26:00,Raikot,zero visibility pass raikot. dhund is slow. driving slow.,smog_fog,9
2025-10-07 07:57:00,Samrala,crossed samrala. road clear. reaching on time.,clear,0
2025-10-07 08:02:00,Moga Grain Market,my tanker stopped at moga grain market. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-07 08:26:00,Sirhind Mandi,boht heavy traffic. tractor phas gya near sirhind mandi due to slow gate entry.,harvest_traffic,6
2025-10-07 08:31:00,Raikot,crossed raikot. road clear. reaching on time.,clear,0
2025-10-07 08:35:00,Bathinda Refinery,crossed bathinda refinery. road clear. reaching on time.,clear,0
2025-10-07 09:12:00,Link Road #5,crossed link rd #5. rod clear. reaching on time.,clear,0
2025-10-07 09:32:00,Samrala,slow traffic. truck phas gya near samrala due to overloading check.,harvest_traffic,6
2025-10-07 09:34:00,Khanna Mandi,slow traffic. tanker stuck nr khanna mandi due to slow gate entry.,harvest_traffic,4
2025-10-07 10:51:00,Bathinda Refinery,my tanker stopped at bathinda refinery. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-07 11:42:00,NH-44,my trolley stopped at nh-44. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-07 12:17:00,Amritsar Gate,boht heavy traffic. gaadi khada hai nr amritsar gate due to slow gate entry.,harvest_traffic,6
2025-10-07 12:24:00,Khanna Mandi,boht heavy traffic. tanker khada hai near khanna mandi due to unloading.,harvest_traffic,7
2025-10-07 12:37:00,Bathinda Refinery,slow traffic. trolley khada hai nr bathinda refinery due to labor shortage.,harvest_traffic,4
2025-10-07 14:19:00,Nakodar,crossed nakodar. rd clear. reaching on time.,clear,0
2025-10-07 14:42:00,Rajpura Toll,crossed rajpura toll. road clear. reaching on time.,clear,0
2025-10-07 14:59:00,NH-44,crossed nh-44. rod clear. reaching on time.,clear,0
2025-10-07 16:11:00,Rajpura Toll,boht heavy traffic. canter phas gya near rajpura toll due to labor shortage.,harvest_traffic,5
2025-10-07 16:24:00,Raikot,raikot blocked by union block. total jam. avoid this route.,protest_dharna,10
2025-10-07 19:18:00,Ludhiana Transport Nagar,ldhn trnsprt ngr blckd by nn blck. ttl jm. avd ths rt.,protest_dharna,10
2025-10-07 19:19:00,Amritsar Gate,crossed amritsar gate. road clear. reaching on time.,clear,0
2025-10-07 19:25:00,Sirhind Mandi,total traffic. truck stuck nr sirhind mandi due to labor shortage.,harvest_traffic,5
2025-10-07 20:25:00,Samrala,zr vsblty pss smrl. hvy rn s dd. drvng slw.,smog_fog,7
2025-10-07 22:54:00,Jalandhar Bypass,zero visibility nr jalandhar bypass. waterlogging is total. driving slow.,smog_fog,9
2025-10-07 23:34:00,Rajpura Toll,cattle on rd pass rajpura toll. risk of accident. khada hai.,rural_hazard,4
2025-10-08 01:12:00,Nakodar,zero visibility near nakodar. dhund is pura. driving slow.,smog_fog,8
2025-10-08 01:20:00,Canal Road,zero visibility pass canal road. smog is pura. driving slow.,smog_fog,8
2025-10-08 02:34:00,Doraha,crossed doraha. road clear. reaching on time.,clear,0
2025-10-08 03:48:00,Nakodar,crossed nakodar. rasta clear. reaching on time.,clear,0
2025-10-08 04:20:00,Doraha,zero visibility nr doraha. dhund is boht heavy. driving slow.,smog_fog,9
2025-10-08 05:10:00,Sirhind Mandi,zero visibility near sirhind mandi. heavy rain is dead. driving slow.,smog_fog,9
2025-10-08 06:18:00,Raikot,zero visibility near raikot. waterlogging is dead. driving slow.,smog_fog,8
2025-10-08 06:49:00,Moga Grain Market,zero visibility nr moga grain market. slippery rd is dead. driving slow.,smog_fog,9
2025-10-08 07:23:00,NH-44,nh-44 stopped by union block. total jam. avoid this route.,protest_dharna,10
2025-10-08 07:38:00,Link Road #5,link rod #5 blokd by strike. total jam. avoid this route.,protest_dharna,10
2025-10-08 10:05:00,Raikot,crossed raikot. rd clear. reaching on time.,clear,0
2025-10-08 10:30:00,Machhiwara,crossed machhiwara. rd clear. reaching on time.,clear,0
2025-10-08 11:05:00,Sirhind Mandi,dead traffic. trolley khada hai pass sirhind mandi due to slow gate entry.,harvest_traffic,4
2025-10-08 13:44:00,Link Road #5,dead traffic. truck jammed near link rod #5 due to paddy bags.,harvest_traffic,5
2025-10-08 13:56:00,Khanna Mandi,crossed khanna mandi. road clear. reaching on time.,clear,0
2025-10-08 14:06:00,Nakodar,nakodar jammed by strike. total jam. avoid this route.,protest_dharna,10
2025-10-08 14:08:00,Jagraon Mandi,boht heavy traffic. canter stuck pass jagraon mandi due to unloading.,harvest_traffic,5
2025-10-08 14:37:00,Moga Grain Market,slow traffic. tanker khada hai near moga grain market due to paddy bags.,harvest_traffic,4
2025-10-08 15:40:00,Amritsar Gate,very bad traffic. gaadi blokd near amritsar gate due to slow gate entry.,harvest_traffic,6
2025-10-08 16:18:00,Ferozepur Road,my canter stopped at ferozepur road. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-08 17:38:00,Ferozepur Road,crossed ferozepur road. road clear. reaching on time.,clear,0
